Feature,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Total_Importance
Red_p50,0.3663676534508412,0.06279225177960063,0.2738475723461859,0.019977093899869475,0.05394663352066894,0.052227633038434904,0.8291588380356011
NBR_stdDev,0.0673570333198676,0.0323536849848055,0.15573184892322137,0.035827571207871466,0.03137930481606721,0.06976025191535815,0.39240969516719126
SWIR2_p25,0.011570847687293426,0.009426783143304994,0.017950693094153748,0.021506585697300275,0.02935111388642945,0.05032388061911046,0.14012990412759235
NDVI_min,0.04985569421052042,0.015717386037220216,0.015474059579347556,0.0,0.04280968650008623,0.0037509375459113953,0.1276077638730858
NDVI_mean,0.01115261400459429,0.045575907502297994,0.045553230324855296,0.00017449863312365613,0.0006144338524794808,0.003965719199206412,0.10703640351655713
NBR_max,0.0,0.015587392385140834,0.04107812981049003,0.0,0.022741689896458382,0.007078219650026063,0.0864854317421153
BLFEI_mean,0.007097193590113309,0.03960793918123401,0.03126639995420749,0.0008971732187394449,0.0009463758266245423,0.005651777111338393,0.08546685888225719
Brightness_max,0.026363133271337113,0.001202098682944056,0.023936030141871036,0.0,0.0,0.0012250044465220644,0.05272626654267427
Blue_p10,0.0008944967124204494,0.004264854374894819,0.022214098683801333,0.0011308340459328247,0.0004959104199047588,0.018527826986369057,0.04752802122332324
Red_p25,0.0038525424127443995,0.003093934795475023,0.008201487856276054,0.019277830215824,0.00791467304824125,0.002675108816778594,0.04501557714533932
elevation,0.0,0.008306150154411216,0.013584530626601676,0.0007050319983391036,0.0,0.012127708890544308,0.0347234216698963
NIR_p25,0.0020967967628754804,0.007631241557182374,0.013498107416207186,0.0005699753540749892,0.0,0.009343207215573926,0.033139328305913957
BLFEI_max,0.0006405077532103687,0.011458718113567199,0.011541574032421521,0.0024289152036141696,0.0010976878457451306,0.004314004412930836,0.03148140736148922
Green_p90,0.008054734557779372,0.013683745509672189,0.006837751266766099,0.0,0.0,0.002162224179227856,0.030738455513445517
BCI_mean,0.0,0.008868194971459376,0.006155312067544447,0.0009687784085392871,0.0,0.014054728630464579,0.030047014078007687
NDBI_min,0.0,0.012845005138354062,0.001721097994941174,0.0,0.012845005138354062,0.001721097994941174,0.02913220626659047
SWIR1_p50,0.00040716977652786266,0.01266069806395984,0.013067867840487673,0.0,0.0,0.0,0.026135735680975377
MNDWI_mean,0.0008321068710728426,0.0008321068710728426,0.0009088610532433343,0.011232056551479078,0.0,0.010323195498235788,0.024128326845103888
NIR_p90,0.0017815345729812638,0.007806325137734346,0.009430116120127598,0.0,0.0,0.0,0.019017975830843206
BSI_stdDev,0.0016826315512661544,0.008449650743607536,0.007674587399443221,0.0,0.0,0.0,0.017806869694316912
SWIR1_p10,0.0017817677074676228,0.0029033244508605205,0.005975790419212369,0.0,0.004996928725214569,0.00013348204802869306,0.015791293350783775
NIR_p50,0.00037868723992840966,0.006742825573665886,0.007121512813594292,0.0,0.0,0.0,0.014243025627188587
BSI_max,0.0,0.0,0.0,0.006638858307887953,0.006638858307887953,0.0,0.013277716615775906
SWIR1_p90,0.006459600549537904,0.0,0.006459600549537904,0.0,0.0,0.0,0.012919201099075808
SWIR2_p10,0.0,0.0030172334530639187,0.003017233453063919,0.0024069474165686077,0.0,0.0024069474165686077,0.010848361739265053
Blue_p25,0.0,0.0051724981022524255,0.0037872864525077617,0.0,0.0,0.0016152984476139178,0.010575083002374105
NDSI_min,0.00043763212170904787,0.0048029055901793166,0.0052405377118883555,0.0,0.0,0.0,0.01048107542377672
SWIR2_p50,0.004568582020561609,0.0008542020053343485,0.003714380015227263,0.0,0.0,0.0,0.009137164041123219
NDVI_max,0.0,0.004454901221422212,0.004454901221422215,0.0,0.0,0.0,0.008909802442844426
NDSI_mean,0.0,0.00338759966769131,0.004207514826346804,0.0008199151586554981,0.0,0.0,0.008415029652693612
MNDWI_stdDev,0.0,0.004189414044872136,0.004189414044872136,0.0,0.0,0.0,0.008378828089744272
TWI,0.0,0.004121262687415042,0.004121262687415059,0.0,0.0,0.0,0.008242525374830102
Red_p75,0.0,0.0,0.0031575801629997024,0.0,0.0,0.003157580162999702,0.006315160325999405
Green_p25,0.0,0.0,0.0022446086182489463,0.0,0.0022446086182489463,0.0,0.004489217236497893
NDBI_stdDev,0.0,0.0015237153146140617,0.0,0.0,0.0015237153146140617,0.0,0.0030474306292281234
BLFEI_min,0.0014620328588530625,0.0014620328588530627,0.0,0.0,0.0,0.0,0.0029240657177061254
NIR_p10,0.0,0.0010644638449409437,0.0,0.0010644638449409437,0.0,0.0,0.0021289276898818874
Blue_p90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCI_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLFEI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSI_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue_p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue_p50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSI_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBR_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green_p10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brightness_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brightness_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDWI_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDWI_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDWI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDVI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDSI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDBI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDBI_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDSI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green_p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green_p50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brightness_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNDWI_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNDWI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBR_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDWI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red_p10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_contrast,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_diss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_corr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_idm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_ent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWIR1_p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWIR1_p25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red_p90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWIR2_p75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWIR2_p90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slope,0.0,0.0,0.0,0.0,0.0,0.0,0.0
